geneid	JP6pm	JP8pm	JP10pm	JPMid	JP2am	JP4am	JP6am	JP8am	JP10am	JPnoon	JP2pm	JP4pm
TRINITY_DN35586_c2_g2	0	0	0	7.45	0	0	0	0	0	4.47	6.6	0
TRINITY_DN35586_c2_g3	3.46	1.51	2.06	3.25	3.17	1.94	1.47	0.5	0.82	0.38	1.58	2.89
TRINITY_DN35586_c2_g1	3.83	4.8	3.07	1.45	0.68	0.25	0.07	0.15	0.4	2.28	1.75	0.84
TRINITY_DN20011_c0_g1	4.87	6.46	10.54	10.26	4.74	10.36	6.06	2.14	0.96	4.75	4.05	2.81
TRINITY_DN29416_c1_g1	16.13	19.6	19.69	15.38	17.34	13.32	14.43	6.83	13.14	11.84	17.59	21.18
TRINITY_DN25405_c0_g1	14.1	16.63	14.57	16.71	14.58	14.84	11.66	8.5	8.84	10.32	11.19	12.88
TRINITY_DN30906_c1_g1	35.31	46.73	43.99	50.34	55.89	40.58	36.87	36.62	44.21	34.07	30.01	41.64
TRINITY_DN19274_c0_g4	0	8.29	8.47	7.43	7.47	17.87	11.15	2.65	2.37	0	3.68	0
TRINITY_DN28165_c6_g1	43.63	65.26	56.94	62.8	59.3	38.37	48.69	49.91	81.16	40.58	42.76	47.17
TRINITY_DN19274_c0_g3	2.78	11.28	2.32	0	0	2.47	0	2.19	0	1.93	3.1	5.33
TRINITY_DN36124_c0_g2	14.47	14.71	12.29	15.55	7.89	12.65	8.17	5.81	12.5	15.46	15.65	10.05
TRINITY_DN25575_c0_g1	785.3	629.47	651.89	604.67	617.98	568.65	690.41	1200.26	1617.57	1196.5	1418.84	1159.22
TRINITY_DN45928_c0_g1	0	0	0	0	0	0	0	0	0	0	8.99	0
TRINITY_DN29546_c0_g5	1.7	2.19	1.54	1.63	1.23	1.4	3.01	0.41	2.02	0.75	1.34	0.6
TRINITY_DN29546_c0_g1	13.61	18.56	17.89	19.65	20.05	17.82	21.47	18.59	32.54	22.17	29.72	24.97
TRINITY_DN34634_c0_g1	35.07	22.43	14.28	27.57	13.82	10.9	12.34	4.64	7.82	16.24	16.23	18.39
TRINITY_DN35569_c1_g7	37.81	29.96	14.18	11.25	8.28	5.62	4.56	5.78	21.71	55.69	59.08	46.97
TRINITY_DN28739_c1_g1	6.43	9.48	9.36	10.57	7.09	9.17	6.58	4.85	6.59	6.61	7	6.05
TRINITY_DN28362_c0_g2	13.51	17.6	15.28	18.26	13.63	14.94	13.08	12.62	22.12	14.23	15.93	16.09
TRINITY_DN23590_c0_g3	13.86	21.65	17.67	24.27	18.3	14.42	8.62	8.18	9.21	8.71	9.29	15.38
TRINITY_DN28362_c0_g1	10.76	16.14	15.64	16.76	13.55	12.33	11.35	13.69	12.51	13.17	16.31	15.1
TRINITY_DN33288_c3_g1	3.06	5.09	4.63	4.6	2.68	3.19	2.22	1.15	1.86	2.27	2.98	4.23
TRINITY_DN36047_c2_g1	26.32	24.99	30.83	22.48	32.03	27.51	17.51	15.34	28.16	21.92	20.68	9.5
TRINITY_DN33693_c1_g2	4.56	3.56	0	4.82	4.82	0	0	0	0	5.95	0	0
TRINITY_DN32858_c0_g1	2.39	3.92	6.08	2.6	2.65	0	0	1.92	8.63	5.07	6.9	9.23
TRINITY_DN33693_c1_g9	21.59	19.67	19.94	21.77	21.35	18.84	20.72	21.55	20.92	15.1	24	23.13
TRINITY_DN35810_c2_g5	1	5.1	4.42	5.59	2.52	2.85	2.83	0.5	0.89	1.78	2.98	3.66
TRINITY_DN27355_c1_g1	21.31	21.23	17.34	18.73	17.49	15.74	17.85	21.94	27.79	26.21	27.1	31.68
TRINITY_DN31259_c4_g5	1.75	4.32	4.75	4.21	4.56	5.02	3.1	2.11	2.26	1.73	1.18	1.44
TRINITY_DN51096_c0_g1	0	45.78	0	0	0	0	0	0	0	0	0	0
TRINITY_DN8772_c0_g1	5.15	2.1	0	0	0	4.63	2.11	0	0	1.8	0	0
TRINITY_DN32160_c0_g1	69.33	69.61	42.4	40.44	31.9	23.3	22.8	24.35	37.24	48.55	58.11	80.03
TRINITY_DN22634_c0_g5	202.39	372.76	336.76	400.8	347.78	230.31	282.4	208.24	386.18	399.62	302.96	434.49
TRINITY_DN32401_c0_g2	6.21	8.71	9.71	9.18	7.06	6.04	4.93	8.02	5.9	5.94	7.89	9.01
TRINITY_DN22634_c0_g2	531.94	1351.18	1209.65	1492.9	1400.53	1009.92	615.47	579.55	1156.38	1094.5	1055.62	897.89
TRINITY_DN22634_c0_g3	129.56	190.87	242.5	399.44	223.27	155.74	73.37	78.34	299.61	108.85	83.12	87.91
TRINITY_DN35350_c2_g9	0.2	3.03	3.4	3.61	2.82	4.1	2.74	2.98	2.28	1.16	1.58	0.42
