geneid	JP6pm	JP8pm	JP10pm	JPMid	JP2am	JP4am	JP6am	JP8am	JP10am	JPnoon	JP2pm	JP4pm
TRINITY_DN31201_c0_g1	0	0	0	0	8.34	0	0	2.95	10.49	0	0	0
TRINITY_DN27920_c5_g1	19.39	21.19	20.34	25.48	26.64	24.64	24.06	24.08	31.33	25.26	25.12	21.97
TRINITY_DN12351_c0_g1	31.87	18.76	33	22.33	25.33	22.96	16.95	23.94	11.59	21.06	14.63	13.22
TRINITY_DN33242_c2_g1	34.85	45.82	40.09	53.92	40.16	39	39.21	29.32	26.91	24.72	20.66	23.23
TRINITY_DN31536_c3_g1	5.31	5.9	6.27	6.52	5.64	5.25	3.87	4.35	4.17	4.66	5.67	5.4
TRINITY_DN31567_c1_g1	7.54	22.59	25.43	5.45	11.09	6.8	6.19	14.03	1.8	10.58	10.04	4.83
TRINITY_DN31567_c1_g2	2.68	3.63	2.84	3.06	3.29	3.54	2.42	3.12	3.05	2.43	2.9	2.58
TRINITY_DN28047_c1_g3	4.31	6.12	6.17	5.73	7.49	14.83	21.11	21.7	13.83	12.83	9.94	7.74
TRINITY_DN32042_c0_g1	7.62	8.57	6.61	7.33	6.94	6.47	5.6	4.55	4.75	4.74	5.16	5.71
TRINITY_DN22790_c0_g1	3.91	3.55	3.67	4.9	3.7	4.98	6.81	5.46	5.64	4.14	5.38	3.85
TRINITY_DN22816_c0_g1	4.58	5.08	5.49	4.35	2.15	1.62	0.22	0.3	0.08	0.13	0.25	0.52
TRINITY_DN30461_c0_g3	9.08	11.43	11.03	11.37	9.72	10.39	9.02	7.73	7.97	7.96	9.29	8.93
TRINITY_DN28876_c0_g2	8.34	9.47	9.39	11.15	8.53	11.33	10.46	9.38	6.11	7.96	8.29	7.19
TRINITY_DN26543_c1_g1	54.75	45.31	54.39	50.86	49.27	33.88	32.9	30.22	25.21	30.65	30.16	44.24
TRINITY_DN27164_c2_g7	1.22	3.33	3.52	5.5	1.32	3.99	2.02	0.66	0.59	1.6	1.63	0.43
TRINITY_DN28168_c0_g1	12.78	9.36	8.77	10.06	8.87	10.89	12.02	13.84	17.03	13.69	14.1	15
TRINITY_DN13975_c0_g1	0	0	5.65	3.71	0	0	5.58	0	4.74	0	0	0
TRINITY_DN29887_c2_g2	184.51	168.03	88.87	114.21	65.23	44.05	24.64	30.4	32.92	43.47	55.2	76.27
TRINITY_DN29887_c2_g1	8.05	10.81	4.48	8.17	2.3	4.73	1.52	0.73	1.08	2.87	3.74	4.46
TRINITY_DN34342_c0_g1	0	0	0	2.73	0	4.54	0	12.03	1.8	1.76	1.43	0
TRINITY_DN34342_c0_g2	1.86	3.34	0.96	1.59	1.19	0.9	0.22	0.48	2.74	1.72	2.07	2.95
TRINITY_DN34342_c0_g5	5.58	6.51	5.06	3.78	5.14	5.23	2.43	1.33	2.52	2.67	2.64	3.27
TRINITY_DN24764_c1_g2	6.12	7.78	5.31	8.17	3.65	7.34	6.99	5.52	5.86	7.57	6.49	4.45
TRINITY_DN22022_c0_g1	415.46	361.96	435.61	389.57	435.86	357.4	283.89	334.22	368.95	372.19	418.27	428.29
TRINITY_DN29160_c1_g3	18.15	20.58	23.15	24.5	22.36	25.69	19.36	16.42	18.8	19.99	21.42	18.43
TRINITY_DN29160_c1_g5	29.99	42.18	57.04	63.05	57.41	69.78	48.11	26.81	36.43	32.69	31.84	24.6
TRINITY_DN28322_c0_g2	0.82	2.24	13.4	11.5	10.35	8.96	6.62	3.69	25.37	3.73	14.93	1.44
TRINITY_DN29645_c0_g1	23.88	25.86	24.42	33.09	44.32	45.21	45.09	34.08	37.93	28.28	28.16	29.76
TRINITY_DN28322_c0_g4	1.74	2.86	3.56	2.86	3.47	4.29	1.47	1.39	0.64	0.92	0.32	1.18
TRINITY_DN29883_c0_g1	14.54	18.32	16.21	15.68	14.53	9.52	6.97	5.67	9.34	10	11.99	11.99
TRINITY_DN27767_c0_g2	7.42	6.39	7.59	8.05	6.84	6.97	7.73	7.87	9.16	11.2	11.52	10.13
TRINITY_DN20388_c0_g1	65.02	52.18	67.9	60.07	69.05	58.46	38.42	34.91	65.06	32.39	57.45	58.94
TRINITY_DN26798_c0_g11	0	0	5.24	3.42	0	0	0	2.47	2.21	0	0	3.03
TRINITY_DN28444_c0_g3	6.07	4.43	2.07	3.05	2.49	2.32	0.59	1.74	1.92	3.2	3.17	5.98
TRINITY_DN26669_c0_g1	15.04	16.36	17.03	19.12	16.13	18.16	20.79	20.26	29.68	24.13	25.51	20.14
TRINITY_DN31624_c0_g3	0.59	2.15	1.83	2.4	2.78	3.34	3.49	4.05	5.45	4.4	4.37	2.5
TRINITY_DN16693_c0_g3	0	12.6	0	0	17.2	0	0	0	0	0	0	0
TRINITY_DN18403_c0_g2	2.57	2.41	5.47	6.07	4.69	8.16	2.82	5.69	3.37	4.4	4.32	3.85
TRINITY_DN22946_c0_g4	4.88	4.42	2.03	2.83	1.81	2.32	1.98	3.57	3.47	3.56	4.58	4.68
TRINITY_DN63279_c0_g1	0	15.33	0	0	0	0	0	0	0	0	0	0
TRINITY_DN22946_c0_g1	8.01	8.99	7.14	7.16	7.65	4.25	0.87	3.75	8.06	7.57	4.48	8.45
TRINITY_DN14850_c0_g1	0	16.73	0	0	0	16.6	8.67	0	0	0	9.7	0
TRINITY_DN25104_c0_g1	1.72	2.61	1.89	1.95	2.36	1.31	1.49	1.17	1.13	1.02	1.39	0.76
TRINITY_DN37755_c0_g1	0	0	0	0.7	0.75	2.52	8.51	1.84	3.38	0.78	0.64	0.09
TRINITY_DN36221_c3_g15	37.3	51.42	71.16	84.28	44.94	66.6	44.32	24.14	12.09	34.2	19.31	22.12
TRINITY_DN35506_c2_g5	11.63	16.67	28.49	25.95	23.67	13.22	21.57	12.4	17.82	21.14	12.51	13.63
TRINITY_DN28145_c0_g1	5.12	6.91	6.82	8.16	5.43	5.5	4.19	3.36	4.08	5.31	4.3	6.1
TRINITY_DN20710_c0_g1	50.98	52.74	110.75	95.26	62.57	107.67	49.67	31.8	20.74	53.09	21.07	16.16
TRINITY_DN35938_c4_g3	2.23	3.07	3.1	2.93	1.02	1.8	2.77	1.3	1.95	1.87	1.38	4.04
TRINITY_DN35938_c4_g2	21.51	24.22	24.36	23.65	22.61	22.22	20.87	22.58	22.06	26.09	24.26	23.43
TRINITY_DN35938_c4_g1	8.58	10.08	9.63	8.82	9.26	8.91	8.56	7.51	11.93	9.36	12.44	12.23
TRINITY_DN28331_c0_g1	7.56	11.04	9.48	13.13	10.63	10.06	6.37	6.36	8.37	7.28	8.57	8.48
TRINITY_DN33973_c0_g1	6.65	2.81	13.21	7.33	3.8	1.6	8.46	4.22	6.34	4.95	8.39	1.64
TRINITY_DN33345_c0_g2	7.03	4.17	2.46	4.47	5.05	6.27	4.71	3.51	4.02	1.78	3.4	5.23
TRINITY_DN29029_c2_g10	2.62	0.48	2.04	2.33	2.63	3.55	1.47	1.04	0	1.38	0	0
TRINITY_DN29574_c2_g1	63.99	48.37	47.79	49.24	59.26	49.75	48.62	45.28	50.33	43.8	58.87	75.26
TRINITY_DN22807_c0_g1	1.47	3.01	1.67	1.58	1.28	1.21	0.16	0.89	2.24	2.45	2.02	0.87
TRINITY_DN36446_c3_g1	4.33	4.63	4.12	3.9	3.23	3.62	2.6	2.97	2.6	3.27	3.06	3.78
TRINITY_DN17756_c0_g1	41.42	59.54	56.55	57.2	67.05	56.99	45.07	43.53	38.36	42.82	37.62	57.87
TRINITY_DN24648_c0_g2	4.4	7.6	7.62	7.43	8.22	5.94	5.45	6.72	6.95	5.28	5.25	6.41
TRINITY_DN38231_c0_g1	0.59	19.42	0	0	0	0	0	0	0	0	0	0.21
TRINITY_DN26691_c0_g1	13.61	16.55	22.32	20.54	20.85	23.37	16.16	16.04	8.48	11.64	14.58	13.45
TRINITY_DN22133_c0_g1	124.55	99.1	78.84	89.62	75.98	48.04	45.09	51.75	78.1	103.12	85.11	81.16
TRINITY_DN26991_c1_g5	343.73	367.79	310.46	330.83	358.53	289.89	300.28	412	440.14	315.53	333.35	458.03
TRINITY_DN26991_c1_g3	76.49	78.04	70.58	66.84	79.89	66.82	67.86	91.38	114.83	72.03	86.51	126.54
TRINITY_DN26991_c1_g2	102.75	117.99	91.54	113.78	110.48	87.24	95.69	113.58	144.47	98.95	103.31	145.71
TRINITY_DN36404_c9_g9	0	6.16	0	12.47	0	3.29	0	2.95	0	0	2.02	0
TRINITY_DN22066_c0_g1	10.52	16.89	15.83	17.7	15.24	13.45	11.93	10.51	12.31	8.74	11.1	10.93
TRINITY_DN31361_c0_g3	29.83	33.78	33.63	31.88	26.73	24.25	24.93	24.34	25.34	29.49	28.82	31.12
TRINITY_DN22447_c0_g2	24.13	23.47	20.15	15.92	17.35	10.17	7.29	9.19	13.05	11.12	16.19	21.36
TRINITY_DN34057_c1_g3	3.85	2.48	6.2	2.97	1.82	4.25	1.7	0.93	0.76	3.2	1.42	1.79
TRINITY_DN34057_c1_g2	5.42	5.7	6.72	6.2	4.53	5.83	3.1	1.53	1.79	4.38	3.06	2.27
TRINITY_DN34057_c1_g1	0	0	0	2.48	0	2.09	7.53	0	3.31	0	0	2.2
TRINITY_DN35895_c0_g2	105.41	278.15	255.61	305.45	192.13	174.1	103.05	69.37	89.88	111.22	81.53	90.22
TRINITY_DN35895_c0_g5	0	0	0	0	4.68	7.31	0	0	0	0	0	0
TRINITY_DN25679_c0_g2	46.21	50.97	45.28	53.86	51.67	46.09	51.48	52.96	62.52	56.52	55.16	55.61
TRINITY_DN29690_c2_g1	10.28	10.61	9.42	10.41	8.71	7.32	9.72	9.08	8.76	8.19	11.09	12.25
TRINITY_DN29690_c2_g2	1.67	2.62	3.06	3.35	1.67	2.27	0.84	0.53	1.29	1.01	1.04	1.2
TRINITY_DN43465_c0_g1	0	26.2	0	0	0	0	0	0	0	0	0	0
TRINITY_DN20156_c0_g1	0.15	14.22	0	0	0	0	0	0	0	0	0	0
TRINITY_DN28940_c1_g1	406.39	393.93	383.04	396.74	635.67	408.77	362.54	342	502.59	357.42	429.53	516.09
TRINITY_DN44025_c0_g1	19.18	22.53	22.51	18.72	22.43	23.02	19.86	25.45	17.21	11.71	27.76	13.67
TRINITY_DN34571_c0_g1	9.74	3.78	7.64	25.66	5.12	15.89	3.84	7.16	0	12.6	2.4	0
TRINITY_DN27951_c0_g1	35.96	45.07	37.26	51.8	56.96	45.2	40.66	30.17	33.15	28.12	23.85	24.84
TRINITY_DN37221_c0_g1	0	0	2.78	0	0	1.04	4.41	0	0.82	2.4	0.71	0
TRINITY_DN36484_c3_g7	2.13	1.24	2.91	1.67	1.48	1.94	0.71	0.62	0.56	1.43	1.34	0.45
TRINITY_DN36484_c3_g6	4.52	3.42	5.72	3.73	3.37	3.2	2.64	2.44	1.04	2.63	2.25	2.52
TRINITY_DN29438_c4_g4	0	4.11	8.48	0	2.77	0	4.13	2	1.8	0	0	4.83
TRINITY_DN36484_c3_g2	0	0	7.42	19.9	0	3.86	3.72	10.43	3.08	6.12	0	13.17
TRINITY_DN31120_c0_g4	2.25	2.79	2.25	2.71	1.25	1.36	1.64	1.58	2.45	2.89	3.7	3.51
TRINITY_DN31120_c0_g1	0	0	20.24	9.38	0	20.55	21.06	50.68	38.24	5.57	4.03	8.29
TRINITY_DN52402_c0_g1	0	18.08	0	0	0	0	0	0	0	0	0	0
TRINITY_DN31120_c0_g3	56.17	44.82	30.82	28.77	33.76	23.64	26.39	39.05	54.23	45.75	54.19	66.43
TRINITY_DN30092_c0_g1	78.46	95.77	116.31	124.91	111.39	109.54	74.88	64.6	40.53	54.27	53.77	61.2
TRINITY_DN35604_c0_g1	3.68	4.37	4.36	4.45	3.69	3.51	3.3	2.96	3.6	3.26	3.96	4.38
TRINITY_DN24278_c0_g1	164.76	111.03	96.95	79.71	81.19	55.6	51.57	75.25	77.32	106.51	131.35	156.29
TRINITY_DN30686_c0_g1	8.52	3.9	2.12	1.49	0.65	0.83	0.94	1.59	1.29	6.52	5.93	6.5
TRINITY_DN30686_c0_g2	12	5.68	2.87	2.46	2.37	1.53	2.16	3.18	2.89	8.78	9.47	12.35
TRINITY_DN59472_c0_g1	0.31	29.39	0	0	0	0	0	0	0	0	0	0
TRINITY_DN35311_c0_g2	19.17	15.54	11.48	10.7	8.34	4.05	3.95	6.67	14.72	21.02	23.37	21.8
TRINITY_DN32456_c0_g7	4.01	4.9	5.06	4.41	6.34	5.88	4.98	7.03	7.06	9.22	7.01	6.48
TRINITY_DN29154_c0_g1	16.87	30.68	28.11	25.02	28	24.98	16.55	18.42	10.85	10.72	22.59	17.98
TRINITY_DN32555_c4_g2	0.49	1.24	2.11	2.26	1.51	2.45	2.07	0.64	0.69	0.3	1.16	0.83
TRINITY_DN32364_c3_g5	2.15	3.19	6.35	10	4.9	4.46	4.48	1.75	2.72	3.11	6.77	0.45
TRINITY_DN32364_c3_g2	1.1	3.22	2.1	1.92	2.08	2.75	2.11	1.1	2.6	1.85	1.93	2.01
TRINITY_DN32364_c3_g3	13.69	14.22	7.21	4.82	0	11.27	18.04	10.14	17.97	11.89	18.26	8.51
TRINITY_DN32364_c3_g1	0.75	2.76	2.67	4.32	3.26	4.37	2.56	2.07	2.65	1.45	1.22	0.9
TRINITY_DN30272_c0_g1	14.97	11.18	12.48	10.95	13.54	11.38	12.04	20.85	29.4	20.83	30.34	25.12
TRINITY_DN31208_c1_g4	53.93	56.55	53.82	62.78	57.38	54.43	55.63	55.25	63.02	53.97	47.97	65.01
TRINITY_DN28187_c1_g1	5.36	5.83	6.22	5.59	5.43	5.38	4.97	8.14	7.35	7.49	9.52	7.77
TRINITY_DN32721_c0_g1	12.31	15.39	14.41	14.13	12.12	12.52	8.98	8.06	8.06	11.78	11.59	10.87
TRINITY_DN30461_c0_g5	6.58	7.01	7.18	7.25	8.35	8.83	9.32	8.55	13	9.05	7.94	9.32
TRINITY_DN26385_c0_g1	3.82	0.8	0.42	0.43	0.31	0.61	23.22	97.49	203.98	163.67	133.93	25
TRINITY_DN22908_c0_g1	24.95	26.11	20.47	21.36	22.99	18.03	15.93	18.18	24.62	22.25	23.43	28.12
TRINITY_DN34015_c2_g1	94.6	78.91	89.53	90.3	74.21	62.13	42.74	35.19	26.48	41.74	43.56	52.84
TRINITY_DN26493_c0_g1	21.65	19.7	15.01	14	10.81	9.46	11.94	10.98	11.54	13.55	12.5	16.09
TRINITY_DN32532_c3_g3	7.4	1.55	6.46	6.1	0	0	0	0	0	1.36	0	1.81
TRINITY_DN32532_c3_g2	0.64	1.02	1.94	1.38	2.21	1.29	1.68	0.69	1.02	2.49	0.85	0.22
TRINITY_DN36193_c2_g1	3.18	0.55	1.17	1.2	0.15	0.99	1.37	1	1.24	1.28	4.48	2.65
TRINITY_DN15748_c0_g2	0	22.37	0	0	0	0	0	0	0	0	0	0
TRINITY_DN36193_c2_g4	14.06	19.47	19.05	23.16	19.44	19.31	15.94	20.02	20.65	19.58	18.14	15.16
TRINITY_DN32544_c1_g3	38	35.03	39.84	37.1	31.51	34.09	27.05	25.7	22.58	35.76	32.89	29.33
TRINITY_DN32544_c1_g5	1.05	1.84	1.93	2.33	0	1.08	0.92	0	2.55	1.67	1.48	3.17
TRINITY_DN32392_c1_g1	9.78	8.24	9.6	7.65	9.25	11.17	10.45	11.6	5.88	12.19	16.32	10.55
TRINITY_DN1074_c0_g1	0	0	0	0	0	0	0	6.43	1.92	5.65	0	5.2
TRINITY_DN35836_c0_g1	25.79	17.53	25.97	22.82	21.06	36.13	28.89	28.47	10.35	32.98	21.52	13.68
TRINITY_DN35836_c0_g2	1.01	1.17	4.12	3.94	2.37	3.97	1.81	0.22	2.74	1.39	2.24	1.29
TRINITY_DN29924_c0_g1	2.8	3.29	4.71	5.99	6.15	3.87	1.41	1.13	1.22	1.35	1.82	2.08
TRINITY_DN35183_c2_g2	1.73	2.13	1.48	1.86	1.69	2.97	1.19	0.32	1.73	1.2	2.43	1.24
TRINITY_DN35183_c2_g1	32.32	48.45	37.58	46.55	38.71	51.56	37.57	24.63	40.29	37.77	31.48	36.33
TRINITY_DN29924_c0_g2	46.19	36.48	25.89	22.74	21.94	15.16	10.57	12.54	14.74	18.49	21.37	33.47
TRINITY_DN33260_c0_g1	4.15	3.64	4.8	4.68	9.08	6.95	4.5	4.91	3.11	2.8	4.39	3.4
TRINITY_DN23246_c0_g1	35.79	38.83	35.89	38.88	30.12	23.4	19.08	19.58	22.5	22.3	24.55	35.17
TRINITY_DN32355_c0_g1	39.73	35.49	43.98	39.55	35.36	38.76	34.82	31.78	28.95	38.04	40.5	33.98
TRINITY_DN27806_c0_g1	14.23	17.94	16.52	17.44	13.17	13.65	10.2	7.19	7.74	10.87	11.81	13.38
TRINITY_DN19766_c0_g1	2.23	1.92	4.46	4.07	3.62	5.34	3.87	4.06	2.48	4.85	5.01	4.94
TRINITY_DN35696_c2_g3	9.07	5.63	0.98	0.34	0.36	0.54	0.24	0.21	1.21	0.3	4.59	22.97
TRINITY_DN33146_c0_g1	45.84	76.38	59.46	67.69	71.55	58.23	49.66	53.98	73.34	42.5	45.3	55.25
TRINITY_DN33130_c2_g2	3.63	6.01	4.32	6.49	2.33	4.28	3.48	2.07	3.7	4.25	4.35	2.95
TRINITY_DN33130_c2_g1	3.18	4.85	4.25	4	2.89	4.19	4.05	1.86	3.08	3.88	3.95	3.01
TRINITY_DN30648_c2_g1	22.37	39.54	30.84	41.71	32.16	23.69	17.11	14.85	18.43	13.7	18.51	22.94
TRINITY_DN36263_c3_g4	14.65	15.92	15.73	12.37	12.88	10.51	12.79	5.34	6.21	6.32	4.93	8.44
TRINITY_DN33590_c0_g2	56.1	44.64	35.21	30.73	26.05	22.19	10.89	6.46	10.72	34.11	50.45	53.59
TRINITY_DN36263_c3_g6	2.02	0	3.5	0	0	0	1.69	0	0	2.93	1.22	0
TRINITY_DN36263_c3_g7	8.49	19.18	13.19	17.04	11.99	10.15	7.36	2.23	7.46	5.92	2.33	4.7
TRINITY_DN36263_c3_g2	8.58	6.39	9.32	9.04	2.72	8.42	6.52	5.24	5.05	4.66	4.14	2.25
TRINITY_DN36263_c3_g3	0	0	20.27	5.47	16.36	0	4.09	0	0	3.34	2.54	24.13
TRINITY_DN29037_c2_g4	4.49	3.9	3.46	3.08	2.44	2.37	1.98	0.64	1.55	2.91	1.94	2.87
TRINITY_DN29037_c2_g2	1.88	5	7.95	8.85	8.3	7.81	5.82	1.92	2.83	0.96	1.26	2.26
TRINITY_DN10767_c0_g2	0	0.05	0.03	0.17	0.24	1	4.99	6.7	2.73	0.81	0.93	0.2
TRINITY_DN34883_c0_g1	13.96	18.24	27.23	23.53	20.75	14.01	15.61	9.63	12.93	14.22	13.68	17.87
TRINITY_DN53255_c0_g1	0	0	0	0	0	0	0	0	6.62	6.82	0	0
TRINITY_DN31204_c0_g1	0	0	7.29	0	0	0	15.24	0	0	0	0	0
TRINITY_DN15765_c0_g1	9.45	8.72	10.22	12.73	6.25	6.22	6.07	13.43	9.3	7.5	13.91	7.77
TRINITY_DN15765_c0_g2	3.97	4.19	6.98	5.9	13.84	6.54	5.45	5.1	7.98	5.07	5.24	4.77
TRINITY_DN30435_c0_g1	15.41	19.29	15.48	17.2	15.13	13.43	14.23	10.8	14.72	11.75	12.82	13.88
TRINITY_DN28520_c1_g1	7.35	5.79	9.23	8.19	6.93	7.88	8.49	5.82	6.4	4.91	5.73	4.27
TRINITY_DN36108_c1_g2	18.91	17.67	17.39	21.58	20.59	24.42	22.72	14.06	9.97	14.45	10.68	10.78
TRINITY_DN27975_c1_g3	1.49	3.29	1.8	2.02	0.88	1.85	2.04	0.44	0.54	0.55	1.56	1.43
TRINITY_DN27172_c2_g2	1.5	2.52	2.59	2.49	3.21	1.48	2.31	1.78	1.25	1.58	1.73	1.36
TRINITY_DN27975_c1_g1	79.11	94.53	106.12	102.06	78.73	98.29	69.97	49.49	34.46	52.83	44.7	50.54
TRINITY_DN35412_c0_g3	2.15	2.82	2.5	3.2	3.45	3.2	2.78	2.91	1.97	2.31	3.06	2.21
TRINITY_DN35412_c0_g4	4.14	13.49	7.62	5.83	3.47	5.89	5.27	5.99	5.56	4	3.56	3.86
TRINITY_DN33684_c2_g1	1	2.41	2.29	2.17	2.47	2.13	1.32	0.84	0.93	1.67	1.93	0.81
TRINITY_DN25064_c0_g1	15.43	26.63	37.13	44.69	38.66	40.81	28.87	19.98	18.94	17.07	9.8	12.48
TRINITY_DN22398_c0_g2	2.73	3.79	1.79	2.02	2.3	1.56	2.15	2.76	1.23	0.82	1.18	0
TRINITY_DN30091_c1_g1	1.89	6.29	3.03	3.51	7	1.39	2.32	0.61	3.28	5.94	5.05	3.25
TRINITY_DN33684_c2_g5	2.26	4.28	4.15	4.64	3.68	3.79	2.23	0.99	1.79	1.53	1.83	2.37
TRINITY_DN29956_c1_g1	46.46	70.67	88.08	77.56	69.93	79.97	61.78	76.59	57.67	63	61.64	49
TRINITY_DN19587_c0_g1	1.65	3.88	3.49	3.2	3.4	1.87	2.25	1.73	2.25	1.03	0.81	1.22
TRINITY_DN36449_c5_g12	6	12.18	9.81	17.08	5.3	7.16	5.12	3.5	9.74	10.24	8.49	7.71
TRINITY_DN29645_c0_g3	0.22	0.84	1.54	0.71	2.26	2.39	2.37	0.94	0.84	0.43	0.65	1.38
TRINITY_DN35569_c1_g2	11.75	13.26	12.03	12.8	12.63	10.74	8.02	7.25	13.03	13.13	16.04	12.52
TRINITY_DN35569_c1_g3	15.04	30.16	34.48	39.19	34.73	35.23	21.94	18.62	17.78	15.71	15.84	14.82
TRINITY_DN35569_c1_g1	0	0	0	0.83	0	0	0	1.41	1.26	3.11	7.45	0
TRINITY_DN29477_c4_g1	0	0	0	18.77	0	0	0	6.33	0	5.57	8.06	0
TRINITY_DN19110_c0_g1	12.41	4.73	4.74	0	6.43	14.66	4.83	0	0	0	0	0
TRINITY_DN30305_c2_g1	1.1	4.45	5.14	6.8	2.92	4.61	2.73	0.56	0.22	0.84	0.96	0.46
TRINITY_DN35569_c1_g9	108.8	129.15	20.73	51.27	37.22	9.11	23.32	21.45	84.27	186.27	195.56	206.72
TRINITY_DN28201_c0_g2	87.6	91.42	81.4	72.96	69.91	68.15	46.43	32.28	29.94	49.88	71.83	67.59
TRINITY_DN31448_c2_g1	5.47	5.17	6.84	6.88	5.88	5.67	5.91	6.89	8.37	8.88	8.82	7.22
TRINITY_DN23994_c0_g1	0.16	0.51	0.59	1.29	2.13	1.97	4.72	6.99	6.69	2.73	5.15	1.98
TRINITY_DN35160_c0_g1	4.27	4.52	5.01	4.39	0.29	1.64	0.44	0.97	0.65	1.09	2.67	1.67
TRINITY_DN35516_c1_g1	23.55	21.02	21.99	23.02	17.99	18.25	16.45	11.74	12.76	15.98	17.73	21.23
TRINITY_DN15573_c0_g1	12.3	6.96	5.11	9.15	1.46	7.19	5.43	2.87	7.18	4.57	6.7	12.13
TRINITY_DN28805_c1_g6	1.77	0.78	1.31	4.48	0.21	3.18	2.09	1.05	0.16	0.97	1	0.51
TRINITY_DN24267_c0_g10	2.55	1.19	2.52	0.47	0	0.49	0	0.87	2.31	0.39	1.49	1.34
TRINITY_DN24267_c0_g11	2.19	3.26	2.69	4.37	1.14	5.26	2.2	0.8	1.73	1.77	2.74	1.24
TRINITY_DN21960_c0_g1	8.56	16.94	15.6	21	15.16	13.37	6.48	6.3	6.71	6.98	7.37	8.29
TRINITY_DN26496_c2_g1	2.84	4.74	4.79	5.15	5.55	6.1	4.85	2.78	3.82	2.68	3.36	3.09
TRINITY_DN14374_c0_g1	55.69	65.96	62.43	66.79	61.43	53.94	51.05	57.41	62.2	63.03	64.15	61.93
TRINITY_DN29816_c2_g2	36.24	50.84	51.74	57.14	48.28	52.82	45.27	40.82	34.06	40.41	36.79	31.7
TRINITY_DN30063_c0_g1	581.65	351.05	165.96	126.48	72.28	22.59	21.45	24.01	33.97	68.68	154	454.83
TRINITY_DN35502_c0_g1	3.25	4.29	3.08	3.22	2.22	2.38	2.6	1.72	1.86	2.83	2.92	3.31
TRINITY_DN36491_c5_g13	0	9.78	0	0	0	0	5	0	0	0	3.01	0
TRINITY_DN31906_c0_g1	1.64	3.57	3.22	3.62	3.39	1.95	1.55	0.79	1.77	1.7	1.18	1.2
TRINITY_DN31906_c0_g2	1.42	1.21	12.71	3.14	1.64	5.59	3.65	0	1.1	0	2.79	0
TRINITY_DN34365_c1_g3	93.81	132.77	155.41	169.96	148.8	144.43	92.04	69.46	53.78	56.08	55.07	65.15
TRINITY_DN33496_c0_g1	31.58	31.08	32.88	31.29	26.45	23.51	22.95	19.29	23.56	29.22	34.06	33.44
TRINITY_DN29902_c3_g4	10.82	15.6	20.13	18.58	18.51	14.3	10.42	8.67	11.16	10.67	11.9	13.27
TRINITY_DN29495_c1_g2	2.41	2.38	2.95	3.55	1.66	2.21	2.92	3.14	3.13	2.76	3.46	4.06
TRINITY_DN29495_c1_g1	2.89	3.91	1.38	5.66	1.77	3.93	5.92	2.07	5.55	4.26	2.81	5.2
TRINITY_DN29902_c3_g3	14.43	15.31	13.81	14.74	13.65	12.97	10.87	11.52	11.53	13.19	13.61	14.67
TRINITY_DN34667_c0_g2	4.66	7.56	8.58	9.66	7.9	8.22	6.8	6.61	11.85	7.32	10.68	7.74
TRINITY_DN28345_c0_g1	102.75	77.29	68.93	68.82	63.18	55.54	52.65	77.27	71.51	88.6	92.12	100.59
TRINITY_DN29902_c3_g9	0	0	5.42	0	7.4	0	0	0	8.86	4.47	0	0
TRINITY_DN34667_c0_g4	3.47	4.39	3.05	9.54	3.95	4.98	1.47	1.46	3.94	0	1.08	0
TRINITY_DN20154_c0_g1	4.23	3.75	1.44	3.41	1.83	1.95	3.86	2.49	2.4	3.15	3.06	2.99
TRINITY_DN31624_c0_g2	24	35.22	33.85	53.83	52.42	62.19	60.3	101.06	91.52	78	67.29	47.24
TRINITY_DN32190_c0_g1	9.19	10.2	8.93	9.01	8.45	7.79	9.22	11.84	11.4	11.36	12.26	11.57
TRINITY_DN35745_c0_g1	5.43	6.57	6.54	6.41	4.06	4.43	3.6	2.39	2.29	2.62	3.33	3.7
TRINITY_DN41851_c0_g1	0	14.86	0	0	0	0	0	0	0	0	0	0
TRINITY_DN36187_c2_g1	22.92	15.85	9.44	12.68	15.64	15.35	17.46	16.01	28.57	28.02	48.01	38.83
TRINITY_DN20685_c0_g1	3.15	5.57	4.51	5.14	4.51	2.75	3.26	3.56	3.97	3.53	3.7	4.26
TRINITY_DN33259_c0_g1	8.65	5.75	5.8	6.01	5.59	5.87	6.19	6.71	5.96	7.67	10.39	7
TRINITY_DN36027_c1_g1	1.38	1.32	1.92	1.95	1.11	1.44	1.06	0.86	0.44	1.52	1.26	0.73
TRINITY_DN28263_c0_g1	1.94	5.89	7.06	7.22	2.79	3.1	1.66	1.35	1.47	1.69	2.97	0.67
TRINITY_DN26530_c1_g2	20.92	16.41	12.44	11.25	9.26	4.97	5.2	6.65	9.34	10.3	11.74	22.17
TRINITY_DN53300_c0_g1	3.26	2.76	0	0	0	0	1.38	1.38	0	0	1.03	6.42
TRINITY_DN35001_c0_g1	4.3	5.81	5.97	5.65	3.75	5.54	4.13	2.63	3.1	3.96	4.61	4.36
TRINITY_DN36968_c0_g1	0	0	0	0	0	17.24	0	0	0	0	0	0
TRINITY_DN28921_c0_g1	1.22	2.19	2.35	2.15	2.27	1.88	1.88	1.07	1.85	1.22	1.73	1.29
TRINITY_DN2895_c0_g1	0.5	56.05	0	0	0	0	0	0	0	0	0	0
TRINITY_DN24584_c0_g1	163.32	156.58	134.45	129.48	172.9	112.72	98.5	131.74	186.71	129.48	145.92	192.59
