Ac-1	Ac-2	Mature-1	Mature-2	Meiosis-1	Mitosis-1	Mitosis-2	MMC-1	MMC-2
Ac-1	1	0.919138594945427	0.799146907628112	0.793702383742548	0.865101998420347	0.773062587174477	0.771244445650563	0.901267815390504	0.90124634700874
Ac-2	0.919138594945427	1	0.798465881329838	0.794426036700567	0.857429462373319	0.764967696536106	0.766190870530426	0.898953872438415	0.897296545993838
Mature-1	0.799146907628112	0.798465881329838	1	0.931507147180819	0.865018075131746	0.864333306113546	0.868272036701185	0.800912346496677	0.797902485813403
Mature-2	0.793702383742548	0.794426036700567	0.931507147180819	1	0.861738689054631	0.861746853345737	0.866450395649288	0.800334592494427	0.797034269082305
Meiosis-1	0.865101998420347	0.857429462373319	0.865018075131746	0.861738689054631	1	0.869367168376775	0.871116776956961	0.855594326697619	0.8566088619157
Mitosis-1	0.773062587174477	0.764967696536106	0.864333306113546	0.861746853345737	0.869367168376775	1	0.932340848691376	0.768911513216718	0.767993540958312
Mitosis-2	0.771244445650563	0.766190870530426	0.868272036701185	0.866450395649288	0.871116776956961	0.932340848691376	1	0.769522720187376	0.769578990173731
MMC-1	0.901267815390504	0.898953872438415	0.800912346496677	0.800334592494427	0.855594326697619	0.768911513216718	0.769522720187376	1	0.922192165878742
MMC-2	0.90124634700874	0.897296545993838	0.797902485813403	0.797034269082305	0.8566088619157	0.767993540958312	0.769578990173731	0.922192165878742	1
